,UEC
0,1000.0
1,1001.7
2,1001.2
3,1001.2
4,1001.1
5,1001.4
6,999.5
7,999.4
8,999.4
9,999.9
10,999.2
11,997.9
12,997.9
13,999.2
14,999.2
15,999.8
16,999.8
17,999.8
18,999.8
19,1001.6
20,999.0
21,998.1
22,998.1
23,998.1
24,998.0
25,998.0
26,998.0
27,1000.8
28,1000.8
29,1000.8
30,1000.8
31,1002.4
32,1005.0
33,1005.0
34,1004.9
35,1004.9
36,1002.9
37,1003.0
38,1004.6
39,1004.2
40,1004.2
41,1004.2
42,1004.2
43,1004.2
44,1003.4
45,1003.7
46,1003.0
47,1003.0
48,999.7
49,999.7
50,999.7
51,999.7
52,999.7
53,999.7
54,999.7
55,1000.2
56,1003.4
57,1003.4
58,1002.5
59,1001.4
60,1001.4
61,1001.4
62,999.6
63,999.6
64,999.6
65,999.6
66,999.6
67,999.6
68,998.1
69,998.1
70,998.1
71,998.1
72,998.2
73,992.0
74,991.5
75,991.5
76,991.5
77,991.5
78,991.5
79,991.5
80,989.0
81,989.0
82,988.8
83,988.8
84,988.8
85,988.8
86,988.8
87,988.8
88,988.1
89,988.1
90,988.1
91,987.0
92,987.0
93,987.0
94,987.0
95,987.0
96,987.0
97,987.0
98,987.0
99,987.0
100,986.2
101,983.0
102,983.6
103,983.6
104,983.4
105,983.4
106,983.4
107,985.4
108,986.2
109,986.2
110,987.1
111,987.2
112,988.8
113,988.9
114,988.9
115,991.2
116,991.2
117,991.2
118,991.2
119,991.2
120,993.6
121,993.6
122,993.6
123,992.0
124,1011.5
125,1010.0
126,1008.7
127,1011.6
128,1011.6
129,1010.3
130,1013.2
131,1013.2
132,1014.1
133,1014.2
134,1014.2
135,1017.4
136,1018.5
137,1021.1
138,1021.1
139,1021.4
140,1021.4
141,1021.4
142,1021.4
143,1021.7
144,1023.7
145,1025.2
146,1026.6
147,1029.8
148,1029.8
149,1029.8
150,1039.4
151,1040.0
152,1040.0
153,1046.0
154,1046.0
155,1046.0
156,1046.0
157,1049.2
158,1049.2
159,1048.2
160,1048.2
161,1063.2
162,1063.5
163,1063.5
164,1063.5
165,1063.0
166,1063.0
167,1063.8
168,1066.5
169,1066.5
170,1066.5
171,1073.3
172,1081.2
173,1081.2
174,1081.4
175,1086.0
176,1086.0
177,1086.0
178,1086.0
179,1086.6
180,1088.5
181,1091.3
182,1091.3
183,1090.9
184,1091.5
185,1091.5
186,1092.2
187,1092.2
188,1092.3
189,1092.3
190,1092.3
191,1092.3
192,1092.3
193,1092.3
194,1092.3
195,1091.2
196,1091.4
197,1091.4
198,1093.3
199,1094.3
200,1094.3
201,1094.0
202,1094.5
203,1097.0
204,1093.7
205,1093.7
206,1094.4
207,1094.4
208,1094.4
209,1094.4
210,1094.4
211,1094.4
212,1094.4
213,1092.6
214,1092.2
215,1092.4
216,1092.8
217,1093.8
218,1093.8
219,1092.8
220,1092.8
221,1093.5
222,1095.3
223,1095.3
224,1095.3
225,1095.3
226,1095.3
227,1095.3
228,1095.0
229,1095.0
230,1095.5
231,1095.5
232,1099.7
233,1099.7
234,1099.7
235,1099.7
236,1100.0
237,1100.0
238,1100.0
239,1100.6
240,1100.6
241,1100.6
242,1100.5
243,1100.7
244,1100.7
245,1100.7
246,1100.7
247,1100.6
248,1100.6
249,1100.6
250,1101.3
251,1105.0
252,1104.6
253,1104.6
254,1104.6
255,1104.6
256,1104.6
257,1104.6
258,1105.2
259,1104.6
260,1104.6
261,1104.6
262,1104.6
263,1105.2
264,1105.0
265,1104.9
266,1104.9
267,1104.2
268,1104.2
269,1102.3
270,1102.3
271,1099.5
272,1100.3
273,1100.3
274,1101.3
275,1101.3
276,1101.3
277,1101.3
278,1101.3
279,1103.0
280,1103.0
281,1103.0
282,1103.0
283,1101.0
284,1101.0
285,1101.0
286,1101.0
287,1101.0
288,1106.0
289,1106.0
290,1106.0
291,1106.0
292,1105.6
293,1105.5
294,1105.5
295,1104.8
296,1104.8
297,1104.8
298,1104.8
299,1104.8
300,1105.4
301,1105.4
302,1105.0
303,1105.0
304,1105.0
305,1102.6
306,1102.6
307,1102.6
308,1102.6
309,1102.6
310,1104.6
311,1104.6
312,1104.2
313,1103.8
314,1108.0
315,1108.0
316,1108.0
317,1108.0
318,1108.0
319,1108.0
320,1109.8
321,1109.8
322,1109.8
323,1109.8
324,1109.8
325,1109.8
326,1109.7
327,1109.0
328,1109.4
329,1109.4
330,1113.0
331,1113.0
332,1113.0
333,1112.0
334,1111.6
335,1109.5
336,1109.5
337,1109.5
338,1109.5
339,1109.5
340,1109.5
341,1109.5
342,1109.6
343,1109.6
344,1109.0
345,1109.1
346,1108.2
347,1108.0
348,1109.1
349,1109.1
350,1104.8
351,1106.2
352,1106.2
353,1106.2
354,1105.4
355,1105.5
356,1105.4
357,1104.5
358,1104.5
359,1105.6
360,1105.8
361,1105.8
362,1105.8
363,1105.8
364,1105.8
365,1108.0
366,1104.6
367,1104.6
368,1104.6
369,1105.7
370,1108.1
371,1108.4
372,1108.0
373,1108.5
374,1109.9
375,1109.2
376,1109.2
377,1107.8
378,1107.8
379,1107.8
380,1107.9
381,1107.9
382,1106.9
383,1107.0
384,1107.0
385,1108.1
386,1107.5
387,1107.5
388,1107.5
389,1107.5
390,1107.5
391,1107.5
392,1110.6
393,1107.5
394,1107.5
395,1107.5
396,1107.5
397,1107.9
398,1109.8
399,1109.0
400,1109.0
401,1109.0
402,1109.0
403,1110.6
404,1110.6
405,1110.6
406,1110.6
407,1110.6
408,1110.6
409,1112.3
410,1112.7
411,1112.7
412,1112.7
413,1112.7
414,1112.7
415,1112.9
416,1112.9
417,1112.9
418,1113.5
419,1113.5
420,1114.0
421,1116.5
422,1116.5
423,1114.4
424,1114.4
425,1115.2
426,1115.2
427,1115.2
428,1115.2
429,1115.2
430,1114.8
431,1114.8
432,1115.0
433,1115.0
434,1114.2
435,1114.6
436,1114.6
437,1114.6
438,1113.2
439,1113.2
440,1113.9
441,1113.9
442,1113.9
443,1113.9
444,1113.9
445,1113.9
446,1113.9
447,1113.9
448,1113.9
449,1113.9
450,1113.9
451,1114.0
452,1114.0
453,1114.0
454,1112.3
455,1111.4
456,1112.2
457,1109.8
458,1090.3
459,1090.5
460,1090.5
461,1086.6
462,1084.7
463,1086.2
464,1088.8
465,1087.4
466,1085.8
467,1084.9
468,1082.9
469,1082.9
470,1080.2
471,1081.0
472,1079.8
473,1079.8
474,1078.0
475,1082.0
476,1076.8
477,1076.8
478,1076.8
479,1076.8
480,1080.9
481,1080.5
482,1077.8
483,1077.8
484,1068.6
485,1073.0
486,1075.5
487,1057.2
488,1057.5
489,1055.7
490,1043.6
491,1035.4
492,1034.2
493,1033.6
494,1031.2
495,1042.8
496,1039.0
497,1039.1
498,1039.1
499,1039.8
500,1039.5
501,1037.3
502,1038.0
503,1038.0
504,1038.0
505,1038.0
506,1040.8
507,1043.5
508,1042.3
509,1043.6
510,1042.1
511,1045.0
512,1045.0
513,1048.1
514,1048.1
515,1058.0
516,1049.2
517,1049.2
518,1051.0
519,1043.8
520,1050.8
521,1049.8
522,1049.0
523,1048.3
524,1043.6
525,1043.6
526,1042.4
527,1042.3
528,1041.7
529,1041.7
530,1041.7
531,1040.4
532,1041.5
533,1041.5
534,1030.8
535,1032.3
536,1031.2
537,1033.4
538,1034.5
539,1034.2
540,1027.0
541,1027.0
542,1027.0
543,1027.2
544,1027.2
545,1027.2
546,1029.2
547,1029.6
548,1028.3
549,1028.3
550,1026.5
551,1026.4
552,1026.2
553,1024.0
554,1023.2
555,1022.3
556,1022.3
557,1021.5
558,1020.4
559,1021.8
560,1021.8
561,1021.8
562,1021.8
563,1021.8
564,1021.8
565,1021.8
566,1023.0
567,1022.4000000000001
568,1022.4000000000001
569,1023.0
570,1023.0
571,1023.0
572,1023.0
573,1023.0
574,1023.0
575,1023.0
576,1023.0999999999999
577,1023.0999999999999
578,1023.5
579,1023.5999999999999
580,1024.5
581,1024.0
582,1024.0
583,1024.0
584,1023.0999999999999
585,1023.0999999999999
586,1023.2
587,1021.0
588,1021.0
589,1021.0
590,1021.5
591,1022.4000000000001
592,1021.6
593,1021.6
594,1021.6
595,1021.6
596,1021.6
597,1021.6
598,1021.6
599,1020.5
600,1020.4
601,1020.4
602,1020.4
603,1019.5
604,1020.8
605,1020.8
606,1020.8
607,1020.8
608,1018.8
609,1017.4
610,1017.4
611,1017.4
612,1017.4
613,1018.2
614,1018.2
615,1015.4
616,1015.5
617,1015.5
618,1015.5
619,1015.5
620,1013.8
621,1013.8
622,1013.8
623,1013.8
624,1013.6
625,1013.6
626,1013.6
627,1013.6
628,1014.0
629,1014.0
630,1012.0
631,1012.0
632,1014.4
633,1014.5
634,1014.5
635,1014.5
636,1014.5
637,1014.5
638,1014.8
639,1014.9
640,1014.2
641,1010.1
642,1010.2
643,1010.2
644,1010.2
645,1010.2
646,1010.1
647,1004.8
648,1004.8
649,1004.8
650,1004.8
651,1004.8
652,1005.0
653,1005.0
654,1005.0
655,1009.2
656,1008.4
657,1008.4
658,1006.8
659,1006.8
660,1006.8
661,1005.5
662,1005.5
663,1005.5
664,1004.6
665,1005.6
666,1005.6
667,1005.6
668,1005.6
669,1005.8
670,1006.4
671,1006.4
672,1005.4
673,1005.4
674,1004.5
675,1004.5
676,1004.6
677,1005.2
678,1005.2
679,1004.4
680,1004.4
681,1003.9
682,1003.9
683,1002.1
684,1002.1
685,1002.1
686,1001.1
687,1001.1
688,999.0
689,999.0
690,1004.0
691,1003.2
692,1001.8
693,1001.8
694,1001.8
695,1001.8
696,1001.8
697,1001.8
698,1001.8
699,1002.6
700,1002.6
701,1001.8
702,1001.8
703,1001.8
704,1002.5
705,1002.7
706,1002.7
707,1002.7
708,1002.7
709,1005.6
710,1004.8
711,1004.8
712,1004.8
713,1004.8
714,1004.8
715,1006.2
716,1006.2
717,1003.8
718,1003.8
719,1005.8
720,1005.8
721,1005.8
722,1005.8
723,1005.8
724,1005.8
725,1006.8
726,1006.8
727,1006.3
728,1007.2
729,1007.4
730,1009.4
731,1009.4
732,1009.4
733,1012.4
734,1012.4
735,1009.4
736,1009.4
737,1009.4
738,1009.8
739,1009.8
740,1009.8
741,1009.8
742,1009.8
743,1009.8
744,1009.8
745,1009.6
746,1009.5
747,1009.5
748,1009.5
749,1009.5
750,1010.4
751,1010.4
752,1012.0
753,1015.0
754,1015.0
755,1015.0
756,1015.0
757,1015.0
758,1015.0
759,1012.8
760,1012.8
761,1012.8
762,1011.5
763,1011.5
764,1012.0
765,1013.3
766,1014.4
767,1014.4
768,1014.0
769,1014.0
770,1014.2
771,1014.2
772,1014.4
773,1014.4
774,1014.4
775,1014.4
776,1014.4
777,1014.4
778,1013.6
779,1013.6
780,1013.4
781,1013.4
782,1016.1
783,1016.6
784,1016.5
785,1016.0
786,1016.0
787,1014.5
788,1016.4
789,1018.7
790,1018.7
791,1019.8
792,1019.8
793,1020.1
794,1020.1
795,1020.1
796,1020.0
797,1020.0
798,1020.0
799,1020.0
800,1021.0
801,1021.0
802,1021.0
803,1021.0
804,1020.4
805,1020.4
806,1020.4
807,1020.4
808,1019.8
809,1019.8
810,1019.5
811,1019.8
812,1020.0
813,1020.0
814,1020.0
815,1020.0
816,1020.0
817,1020.0
818,1020.4
819,1017.8
820,1017.8
821,1018.4
822,1018.8
823,1018.8
824,1018.8
825,1019.2
826,1017.9
827,1017.9
828,1017.9
829,1018.3
830,1018.5
831,1016.0
832,1016.0
833,1016.0
834,1018.2
835,1019.0
836,1018.2
837,1018.3
838,1017.9
839,1018.8
840,1018.8
841,1018.4
842,1018.4
843,1018.4
844,1018.4
845,1018.4
846,1018.8
847,1018.8
848,1018.8
849,1015.6
850,1015.5
851,1015.5
852,1015.8
853,1015.8
854,1015.8
855,1015.8
856,1015.8
857,1016.5
858,1016.5
859,1016.4
860,1016.4
861,1016.4
862,1016.4
863,1016.4
864,1016.4
865,1014.8
866,1014.8
867,1014.8
868,1014.8
869,1013.8
870,1013.8
871,1013.8
872,1013.8
873,1013.2
874,1013.2
875,1013.2
876,1013.6
877,1013.6
878,1012.6
879,1015.2
880,1015.2
881,1015.0
882,1015.0
883,1015.6
884,1015.2
885,1015.2
886,1015.2
887,1015.0
888,1015.0
889,1015.0
890,1015.0
891,1015.0
892,1015.0
893,1015.0
894,1015.0
895,1015.0
896,1015.0
897,1014.8
898,1019.9
899,1019.9
900,1019.9
901,1019.9
902,1019.9
903,1019.9
904,1020.0
905,1023.8
906,1023.8
907,1022.8
908,1022.8
909,1022.8
910,1023.0999999999999
911,1023.2
912,1023.0
913,1023.0
914,1019.6
915,1019.6
916,1019.2
917,1019.2
918,1019.2
919,1018.2
920,1018.2
921,1016.8
922,1017.9
923,1015.5
924,1015.0
925,1015.0
926,1015.0
927,1013.9
928,1013.9
929,1016.1
930,1016.1
931,1015.3
932,1015.5
933,1015.5
934,1015.5
935,1015.2
936,1013.5
937,1014.0
938,1013.0
939,1013.0
940,1013.0
941,1012.5
942,1012.5
943,1012.5
944,1012.5
945,1012.5
946,1012.5
947,1012.5
948,1012.5
949,1012.8
950,1012.8
951,1012.8
952,1012.7
953,1012.7
954,1012.7
955,1012.9
956,1012.9
957,1012.9
958,1013.2
959,1013.2
960,1013.2
961,1013.2
962,1013.2
963,1012.4
964,1012.4
965,1009.9
966,1010.2
967,1010.3
968,1010.3
969,1010.3
970,1010.4
971,1010.4
972,1012.8
973,1010.4
974,1010.4
975,1010.4
976,1010.7
977,1010.7
978,1012.1
979,1012.1
980,1012.1
981,1012.1
982,1012.1
983,1012.2
984,1012.2
985,1012.2
986,1012.2
987,1012.2
988,1011.4
989,1012.4
990,1011.2
991,1011.2
992,1010.0
993,1010.0
994,1010.0
995,1008.2
996,1007.6
997,1007.6
998,1007.6
999,1007.7
1000,1007.7
1001,1007.7
1002,1007.7
1003,1007.8
1004,1006.5
1005,1006.5
1006,1006.5
1007,1006.5
1008,1006.5
1009,1006.5
1010,1006.5
1011,1006.5
1012,1006.5
1013,1006.5
1014,1006.4
1015,1006.4
1016,1006.4
1017,1008.3
1018,1009.2
1019,1009.2
1020,1008.6
1021,1008.9
1022,1008.9
1023,1008.9
1024,1008.9
1025,1005.4
1026,1005.4
1027,1005.4
1028,1005.4
1029,1005.4
1030,1004.2
1031,1004.2
1032,1004.2
1033,1004.2
1034,1006.0
1035,1006.0
1036,1006.0
1037,1006.0
1038,1003.8
1039,1003.6
1040,1003.6
1041,1003.6
1042,1004.9
1043,1004.9
1044,1005.4
1045,1006.9
1046,1006.0
1047,1005.2
1048,1006.2
1049,1008.4
1050,1008.4
1051,1008.4
1052,1008.7
1053,1008.7
1054,1003.3
1055,1003.3
1056,1002.8
1057,1002.8
1058,1001.8
1059,1001.8
1060,1001.8
1061,1001.8
1062,999.8
1063,999.8
1064,999.8
1065,998.6
1066,998.6
1067,998.9
1068,998.9
1069,998.9
1070,1000.2
1071,1000.0
1072,1000.0
1073,1000.0
1074,1000.0
1075,1002.1
1076,1000.7
1077,999.7
1078,1001.4
1079,1002.0
1080,1002.0
1081,1002.0
1082,1002.0
1083,1002.0
1084,1002.0
1085,1002.0
1086,1002.0
1087,1002.0
1088,1003.6
1089,1003.4
1090,1003.4
1091,1003.4
1092,1003.4
1093,1004.3
1094,1004.3
1095,1004.3
1096,1004.3
1097,1002.0
1098,1000.4
1099,1000.4
1100,1000.4
1101,998.9
1102,996.6
1103,996.6
1104,996.6
1105,996.5
1106,996.5
1107,995.4
1108,997.0
1109,997.2
1110,997.5
1111,997.2
1112,997.1
1113,994.6
1114,994.6
1115,994.6
1116,994.6
1117,994.6
1118,994.6
1119,994.6
1120,994.6
1121,991.8
1122,987.5
1123,987.5
1124,987.5
1125,987.9
1126,987.9
1127,987.9
1128,989.0
1129,989.4
1130,989.4
1131,989.4
1132,989.5
1133,989.6
1134,989.6
1135,989.6
1136,989.6
1137,989.6
1138,987.8
1139,987.8
1140,987.8
1141,988.6
1142,987.4
1143,987.2
1144,989.5
1145,988.5
1146,988.5
1147,986.5
1148,981.0
1149,981.7
1150,981.7
1151,981.7
